SrcIP;DstIP;SrcPort;DstPort;SNI;OrgName;JA3hash;JA4 hash;AppName;Type;JA3S hash;JA4S hash;Filename;Version
192.168.3.28;47.246.110.44;64946;443;ae.mmstat.com;Alibaba Cloud LLC, AL-3;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;b898351eb5e266aefd3723d466935494;t1205h2_c02f_bec8bdbaef8a;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.131.180;64896;443;amdc.aliexpress.com;Alibaba Cloud LLC, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;61be9ce3d068c08ff99a857f62352f9d;t120400_c02f_460f64128655;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.131.180;64906;443;amdc.aliexpress.com;Alibaba Cloud LLC, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0
192.168.3.28;47.246.146.66;64962;443;fourier.aliexpress.com;Alibaba Cloud LLC, AL-3;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;6e15a5bf660856fa03186247ca41d059;t1206h2_c02b_12a20535f9be;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.173.218;64990;443;amdc.aliexpress.com;Alibaba Cloud LLC, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;61be9ce3d068c08ff99a857f62352f9d;t120400_c02f_460f64128655;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.230;64867;443;dinamicx.alibabausercontent.com;AL-3, AL-3;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.230;64868;443;dinamicx.alibabausercontent.com;AL-3, AL-3;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.230;64869;443;dinamicx.alibabausercontent.com;AL-3, AL-3;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.230;64875;443;dinamicx.alibabausercontent.com;AL-3, AL-3;c67e9dc27d283f1f89b4ebb4b4670c21;t13d1713h1_5b57614c22b0_352634941f3a;aliexpress;0;2253c82f03b621c5144709b393fde2c9;t130300_1302_0ee26285a86f;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.230;64876;443;dinamicx.alibabausercontent.com;AL-3, AL-3;c67e9dc27d283f1f89b4ebb4b4670c21;t13d1713h1_5b57614c22b0_352634941f3a;aliexpress;0;2253c82f03b621c5144709b393fde2c9;t130300_1302_0ee26285a86f;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.230;65008;443;dinamicx.alibabausercontent.com;AL-3, AL-3;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.231;64884;443;video-sdk-cert-cdn.aliyuncs.com;AL-3, AL-3;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64862;443;global-orange-source.alibaba.com;AL-3, AL-3;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64866;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64879;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64881;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64889;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64900;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64903;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64905;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
